;No;Tweet;Relevant/irrelevant;Sentiment;Intensity;Attitude;Link
2022;2030;"QT @FilippoGrandi: @GeorgeOkothObbo gave 36 years of loyal and distinguished service to the welfare of #refugees globally! May Allah bless you and reward you abundantly. Congratulations for the new role. ; Best wishes to @GeorgeOkothObbo and the high level panel which will work with @antonioguterres and the international community on improving support to (and solutions for) internally displaced people. And thank you, George, for your long and stellar service to UNHCR and refugees! https://t.co/T5OCjawXyL
";;neutral;low;sharing;http://twitter.com/StLiechtenstein/statuses/1218219737991254022
2023;2031;"QT @GermanyDiplo: #Germany makes me proud ; Germany is the 5th largest receiving country for refugees and the 2nd most important donor for UNHCR @refugees. We need more countries to take responsibility and share the burden. Foreign Minister @HeikoMaas & @FilippoGrandi want to promote this goal at the Global #RefugeeForum. https://t.co/iqXlLy1cGK
";;positive;medium;liking;http://twitter.com/caro_sauve/statuses/1216721238468579328
2024;2032;"QT @GetUp: Arresting, beating, bullying, tear gassing, putting in prolonged detention, causing harm, denying medical or psychiatric treatment, lack of educational/legal services,causing mental anguish to refugees and amnesty seekers are in violation of host countries' duties. #1951UNHCR ; Always was, always will be Aboriginal land https://t.co/Q4SWr0lv4u
";;positive;high;action-based;http://twitter.com/sometimetwo1/statuses/1208261194961674246
2025;2033;"QT @GoyerChristine: Podczas współorganizowanej przez UNHCR symulacji ""Passages"" studenci NOHA i UW mieli okazję wczuć się w sytuację uchodźczą. #Passages @NOHAWarsaw @UniWarszawski ; For a few hours on Saturday, NOHA and UniWarsaw students stepped in the shoes of refugees and experienced their journey during the Passages simulation game organized by UNHCR. @NOHANetwork @UniWarszawski @UNHCRPoland https://t.co/Q1txil1Rii
";;neutral;low;sharing;http://twitter.com/HopeIsland3/statuses/1216083262835003394
2026;2034;"QT @HinduJagrutiOrg: @Refugees #MinoritiesInDangerInPak ; In last 2 days in Pakistan, a Hindu woman was abducted from her marriage function and converted to Islam. While another Hindu temple was attacked in Pakistan’s Sindh, goddess statue desecrated Still @UNHumanRights @UCLHRC are silent ! #MinoritiesInDangerInPak #WakeUp_UNHCR
";;negative;high;helpless;http://twitter.com/PancrasMalani/statuses/1087804205803413510
2027;2035;"QT @IamSamSmith: @grandinmedia ; Christian refugee @FarazPervaiz3 - charged with blasphemy in Pakistan - says he was beaten by radical Muslims in a grocery store in Bangkok over his faith. Despite spending years as refugees in Thailand, his family still has yet to be resettled by UNHCR. https://t.co/cz1QFBA8fR
";;negative;high;helpless;http://twitter.com/seviettinger/statuses/1084994223680630784
2028;2036;"QT @iDivineArjuna: @UN @Refugees @UNHumanRights ; #MinoritiesInDangerInPak #WakeUp_UNHCR #Pakistan has became hell for the minorities there...! The Minorities there such as Hindus and Sikhs are been 👇 Threatened ✔️ Tortured ✔️ Murdered ✔️ Forcefully Converted ✔️ https://t.co/6jTNcUGC2s
";;negative;high;helpless;http://twitter.com/Terkel48/statuses/1085677682652835841
2029;2037;"QT @make_trouble: The @LabourParty are extremely dangerous. ; UNHCR says Venezuela’s 3m strong refugee problem is now “on a scale with Syria” & you’re running propaganda for the man causing that senseless humanitarian crisis? https://t.co/aqN9uP4vKu
";;neutral;low;sharing;http://twitter.com/VanessaVett/statuses/1088473577605791744
2030;2038;"QT @MFA_Austria: Und was ist mit den Resettlement Programmen? #JustAsking ; During the meeting with @Refugees Deputy HC @KellyTClements, FM #Schallenberg highlighted that #UNHCR is an important partner for AT: ""We particularly welcome UNHCR's leading role in supporting countries of origin & transit” https://t.co/m8tpsYyc24
";;neutral;low;sharing;http://twitter.com/mustafapekell/statuses/1210104415664922625
2031;2039;"QT @neilhimself: Thank you to @gwww for connecting me with this on Twitter. If you are in need of a little warmth on a cold monday morning... read on, or (even better) donate. #gratitude ; What reminds you of warmth? Calling on your words/thoughts for both inspiration and inclusion in a special Twitter story I'm writing for UNHCR & @TwitterForGood to support Syrian @refugees this winter. Reply to this tweet with #KnitForRefugees.
";;positive;medium;action-based;http://twitter.com/Textolino/statuses/1213958315706851328
2032;2040;"QT @ozcrimenews: @melbourning @abcnews And no African gangs in Melbourne 🙄 https://t.co/YEQiLKdoB1 ; Melbourne African gang kills man in machete attack. It was bound to happen. #3aw693 not if but when. Where are the ""leaders"" of this country ir is that the #Unhcr #refugee #refugees #sprkngst #auspol #bringthemhere #apexgang @Jonatho43827873 @LLDecide https://t.co/seqd0P7Xzv https://t.co/ToXG2CrIjM
";;negative;high;disliking;http://twitter.com/tonymacaulay/statuses/1221805698566303744
2033;2041;"QT @Refugees: #oneplateau @JFCrisp More 'unsung heroes' fewer 'celebrities' please UNHCR https://t.co/eYSJ2HWF7s @Refugees ""I chose to take care of poor vulnerable people"" Help us discover mor unsung heroes caring forcibly displaced & stateless! https://t.co/OHt4pmuGpr https://t.co/ipUwyZdm0n ; ""I chose to take care of the poor and the vulnerable people."" Help us discover more unsung heroes caring for the forcibly displaced & the stateless! https://t.co/wdDaG9wZVW https://t.co/LYJpbQKoSY
";;negative;medium;disliking;http://twitter.com/FilippoGrandi/statuses/1218163114178498560
2034;2042;"QT @Refugees: Being a refugee is one of the worst and depriving thing that can happen to a human being. Unfortunately, people gathered there will never take unanimous decision that promotes a safe return to the land of origin. UNHCR must also evolve and broker a negotiated repatriation ; For the first time ever, a refugee is a Co-Chair of the World Economic Forum’s annual meeting in Davos. Meet Mohammed Hassan Mohamud from Kakuma refugee camp in Kenya. #WEF19 @WEF https://t.co/QLg9ztNpK9
";;neutral;low;sharing;http://twitter.com/UNFPAGHANA/statuses/1222935979889168390
2035;2043;"QT @Refugees: Please join the @UNRefugeeAgency @Refugees to help raise money for refugees. We can all do our share! I am a USA for UNHCR fundraiser and you can be one too! Please have a look at my fundraising page at https://t.co/QagssW6VVo or https://t.co/axq0LqsW2O ; A quality education can protect refugee girls by reducing: 🔽exploitation, sexual and gender-based violence 🔽teenage pregnancy 🔽child marriage 🔽child deaths from diarrhoea, malaria + pneumonia https://t.co/ChpJkydCcH #TimeIsNow https://t.co/QEd0mllpF5
";;positive;medium;action-based;http://twitter.com/ASUed4humanity/statuses/1221626162847326208
2036;2044;"QT @Refugees: What do You. mr. @Kristianthdahl as chairman of a Danish party with lots of influence think of these facts? Do You trust UNHCR or do You think that UNHCR is full of lies? Please give at least UNHCR an answer!!! ; 2013 📈 2014 📈 2015 📈 2016 📈 2017 📈 For the 5th year in a row, the number of people forcibly displaced reached a new high. https://t.co/MQWq610Hhl https://t.co/u59ii3JJsW
";;neutral;high;action-based;http://twitter.com/0JZbWWg04bFpdYx/statuses/1086256608445956096
2037;2045;"QT @rgowans: SANTE parole ; 2/2 Capt.(N) Reda Issa: ""When these ships (#NGO) are present, the number of #migrants increases & when they leave numbers decrease again!"" PULL FACTOR❗️#Migrantcrisis #TogetherForRescue #Frontex #Refugees #flüchtlinge #Seenotrettung #SeaWatch3 #UNHCR #EU https://t.co/bER5GA7m29
";;negative;medium;disliking;http://twitter.com/Refugees/statuses/1087804393662103553
2038;2046;"QT @spectatorindex: Coğrafya kaderdir. ; Refugees hosted,. Turkey: 3,480,000 Pakistan: 1,390,000 Uganda: 1,350,000 Lebanon: 998,000 Iran: 979,000 Germany: 970,000 Bangladesh: 932,000 Sudan: 907,000 Jordan: 691,000 France: 337,000 US: 287,000 Sweden: 240,000 UK: 121,000 Canada: 104,000 (UNHCR)
";;neutral;low;sharing;http://twitter.com/KitchaFitFit1/statuses/1215772245018259461
2039;2047;"QT @TilleyMarc: #Malta #Refugees ; ""A Maltese request for assistance for the relocation of rescued migrants has not drawn a single offer of help."" This legitimate grievance of @dr_micfarr is unfortunately indicative of failed EU unity on migration, not life-saving NGOs, #UNHCR or #refugees. https://t.co/Hncohhwaj0
";;negative;medium;disliking;http://twitter.com/seraj_se/statuses/1085213972624752640
2040;2048;"QT @tonymacaulay: Latest update from my co-writer in #Kakuma @Refugees camp in Kenya who was attacked on 7th Jan: ‘There was heavy rain last night and I am still outside. There is no shelter. We just sleep and it rains on us or we go under some trees opposite the reception centre’ ; 1/ Latest update from my co-author who was attacked at #kakuma @Refugees #UNHCR Refugee Camp on 7th Jan. He is still sleeping outside the Reception Centre and in danger. Security guards have blocked him entering the camp to report his protection concerns to the UNHCR field post.. https://t.co/aI3LGSxqMd
";;neutral;low;sharing;http://twitter.com/UNHCRItalia/statuses/1219540718659809280
2041;2049;"QT @UNCityCPH: I was happy to contribute to the first conference organized in Copenhagen by the new Joint Data Centre set up by the @WorldBank and UNHCR. Good data can truly help improve the lives of refugees and displaced people, and help us work on solutions for their plight. @AxelVT_WB ; “We need good data to counter negative narratives on #migration and #refugees"" says UN High Commissioner for Refugees @FilippoGrandi on the 2020 Research Conference on #ForcedDisplacement hosted by @WorldBank x @Refugees Joint Data Centre in UN City. https://t.co/CzW3KUDIss
";;neutral;low;sharing;http://twitter.com/V4Report/statuses/1222353325221388290
2042;2050;"QT @unhcrghana: @UNFPAGHANA is equally excited to be partnering with @unhcrghana to memtor young people, including #refugees to ensure their potential is fulfilled. @UNinGhana #DeliveringAsOne #ForTheGoodOfGhana🇬🇭 ; UNHCR Gh is proud to be associated with @UNFPAGHANA's innovative Young Leaders Fellowship Prog which is mentoring young people and giving them practical skills for the world of work. The 2nd cohort which has just taken off has 4 refugee youth. Great way of investing in the youth. https://t.co/5RpX4hP5Ye
";;positive;medium;liking;http://twitter.com/RefugeesChief/statuses/1085283963835478017
2043;2051;"QT @UNHCRIreland: Pleased that ASU has signed an MOU with ARRA/Ethiopian government to work together on refugee and host community education at all levels, starting in Gambela and Addis. ; UNHCR is calling for international support for refugee operations in Ethiopia. The country is currently hosting 735,000 refugees and asylum-seekers from 26 nationalities. https://t.co/O8sOU2uSRK
";;positive;medium;liking;http://twitter.com/TRVST_Community/statuses/1216096198672769024
2044;2052;"QT @UNHCRLebanon: 16 عائلة ليلة الأمس تترك خيامها في أحد المخيمات العشوائية للاجئين السوريين في برالياس شرق لبنان، نتيجة السيول. #عرسال #بشار_الأسد_مجرم_حرب ; Last night, 16 Syrian refugee families were forced to leave their tents at an informal settlement in Bar Elias, east of Lebanon. The camp was flooded and families were relocated to other camps with the support and coordination of UNHCR and its partners. https://t.co/2VWS3b8hKk
";;neutral;low;sharing;http://twitter.com/Insureteck/statuses/1215926083045838850
2045;2053;"QT @UNHCRLebanon: Wonderful to see refugee story #Capharnaum make the #OscarNoms⁠ ⁠ list! Watch our video about main character Zain, and UNHCR's role in his deeply moving story. #Oscars ; Director @NadineLabaki selected a child refugee in Lebanon for the lead role in @capharnaumfilm, officially nominated today for a Best Foreign Language Academy Award. #OscarNoms #Oscars More on Zain and the film: https://t.co/qpudLa7fr3 https://t.co/7OtiMLKitM
";;neutral;low;sharing;http://twitter.com/Asmali77/statuses/1220933003368484864
2046;2054;"QT @UNHCRLibya: The UNHCR has made a statement about the two #Eritrea|n refugees who were killed https://t.co/sqwNj2Nbn7 ; 🚨 UNHCR statement. https://t.co/324p0JYRrU
";;neutral;low;sharing;http://twitter.com/UnbFactsOk/statuses/1220698031286300672
2047;2055;"QT @UNHCRLibya: منتصر 😂 ; From UNHCR’s Gathering & Departure Facility in Tripoli 🇱🇾 , Zereu, a young Eritrean refugee is traveling 🧳 to the Netherlands 🇳🇱 to start a new life thanks to UNHCR’s resettlement program. During 2018, 1,064 cases were submitted for resettlement in 3rd countries. https://t.co/6jg4zwRbG0
";;neutral;low;sharing;http://twitter.com/kin_maung/statuses/1221065580221886466
2048;2056;"QT @UNHCRNiger: Grazie @ItalyMFA @MinisteroDifesa per il carico umanitario inviato ieri in Niger 🇳🇪 985 kg di farmaci e materiale medico-sanitario @cooperazione_it sosterrano le attività di assistenza sanitaria @UNHCRNiger a favore dei rifugiati e richiedenti asilo di #Agadez ; 🛬Just landed in Niamey: 985 kg medical supplies 💊and sanitation items ⚕️to support UNHCR's health response to refugees and asylum seekers in #Agadez after a fire has destroyed the humanitarian center, including the health center. Grazie mille to our partner Italy! 🇮🇹 https://t.co/BUYNrV57lU
";;neutral;low;sharing;http://twitter.com/kin_maung/statuses/1212680110970560512
2049;2057;"QT @YlvaJohansson: Team EU-UN: Turning illegal migration into legal migration. How comforting for #VdLCommission to appoint a Swede to develop EU migration policy? 🤨 A well-managed and orderly asylum system? It even sounds like UN Migration Compact ; UNHCR @Refugees is an indispensable actor in our efforts to maintain a well-managed and orderly asylum system. My meeting yesterday with High Commissioner @FilippoGrandi gave us a valuable opportunity to discuss the EU’s upcoming pact on #asylum and #migration. https://t.co/Cbfn0OjAD3
";;neutral;low;sharing;http://twitter.com/SanctuaryRunner/statuses/1216347106761461761
2050;2058;"Refugee work gives UNHCR’s interns a unique perspective on today’s world. Their own contributions to UNHCR - hard work, new ideas and great enthusiasm - are equally unique. Thank you! https://t.co/fx76Nv3Q0C
";;positive;medium;liking;http://twitter.com/dahveedbenson/statuses/1090466889875124224
2051;2059;"Refugee, migrant arrivals to Greece spike in 2019: UNHCR report #strongercommunities https://t.co/1XfA7r3Q02
";;neutral;low;sharing;http://twitter.com/judithnwana/statuses/1086778932349816834
2052;2060;"Refugees shot dead in Tripoli forced out of UN facility Two Eritrean asylum-seekers were shot dead inside their accommodation in the Libyan capital Tripoli, days after the UN Refugee Agency pres https://t.co/j9NvqUwpG5
";;neutral;low;sharing;http://twitter.com/Trendsiana/statuses/1086808669398990848
2053;2061;"Secretary-General Appoints ⁦@RaoufMazou⁩ of Congo Assistant High Commissioner for Operations, Office of United Nations High Commissioner for Refugees. https://t.co/4EBzKXg1XS
";;neutral;low;sharing;http://twitter.com/katiadavis/statuses/1086609253308211202
2054;2062;"The UNHCR Defends Its Global Compact on Refugees https://t.co/sNhbPlQj9s
";;neutral;low;sharing;http://twitter.com/MickyEthiopia/statuses/1086642359851515904
2055;2063;"To.UNHCR high commissinor I am helpless rohingya refugee in thailand 23 years.Unhcr destroyed my family or killed my all life.UNHCR is discriminated or neglected or violation against tortures me. So i need justice I need justice of icj of high court Plesse help me. https://t.co/alrDvlHgNX
";;negative;high;helpless;http://twitter.com/The_Nation/statuses/1216613347149246465
2056;2064;"To.UNHCR HiGH commissinor Why your silent? Do you know my situation in thailand has been 23 https://t.co/CY78rL6noH experience are i am real rohingya refugee but i no never get help from UNHCR. I think i need attend to high court for human right. Pls explain me. https://t.co/ZFHBn1FEb8
";;negative;high;helpless;http://twitter.com/bellana_org/statuses/1220679913407016960
2057;2065;"UN Refugee Agency honoured with Olympic Cup for sporting contribution @Refugees @UNHCRIreland @japanforunhcr @iocmedia @TeamIreland https://t.co/SgfBvFuDBI https://t.co/59InkitmwI
";;neutral;low;sharing;http://twitter.com/adg38/statuses/1221560156334354432
2058;2066;"UNHCR - Refugees Magazine Issue 110 (Crisis in the Great Lakes) - Burundi: The crisis the world forgot #mun https://t.co/hNAPsLWEc7
";;neutral;low;sharing;http://twitter.com/alswrite/statuses/1214647148832276480
2059;2067;"UNHCR Calls on #Cameroon to Halt Forcible Returns of #Nigerian @Refugees https://t.co/BH0suHr2sR
";;neutral;low;sharing;http://twitter.com/nairaland/statuses/1086186962384433152
2060;2068;"UNHCR Calls on Cameroon to Halt Forcible Returns of Nigerian Refugees #news #breaking #headline #breakingnews #update #today https://t.co/PliwAJfsBt
";;neutral;low;sharing;http://twitter.com/huey/statuses/1221836618220392450
2061;2069;"UNHCR Calls on Cameroon to Halt Forcible Returns of Nigerian Refugees https://t.co/XKrVrIx1CJ
";;neutral;low;sharing;http://twitter.com/Refugees_EU/statuses/1215339091769819144
2062;2070;"UNHCR chief calls Ethiopia’s revised refugee law ‘one of most progressive’ in Africa https://t.co/0vjT828rsF
";;neutral;low;sharing;http://twitter.com/Seebruecke_intl/statuses/1213076511605035008
2063;2071;"UNHCR new project to help refugees, Pakistani communities https://t.co/jCEhU2d5ug https://t.co/Z0QQFVYK2D
";;neutral;low;sharing;http://twitter.com/beNonconform/statuses/1219730349888024577
2064;2072;"UNHCR seeks support for refugees and hosts in Ethiopia https://t.co/D1UbhDys3E https://t.co/JF6w8QVYqQ
";;neutral;low;sharing;http://twitter.com/rgowans/statuses/1090470717290962944
2065;2073;"UNHCR Welcomes Human Rights Committee's Ruling on Climate Refugee https://t.co/EtAei9FJ5x
";;neutral;low;sharing;http://twitter.com/rgowans/statuses/1084850119705587712
2066;2074;"UNHCR’s Ethics Office gives people tools to make their own values-based decisions https://t.co/PUTfHJBbXf | The second in my two-part series for @UNHCRInnovation about how the UN Refugee Agency is empowering people to make the best possible choices in work and life. https://t.co/xIMwtM7uxe
";;neutral;low;sharing;http://twitter.com/UNHCRUSA/statuses/1214322859427926016
2067;2075;"United Nations High Commissioner For Refugees (UNHCR) Job Recruitment https://t.co/KEsKFbLwqn
";;neutral;low;sharing;http://twitter.com/UNHCR_NE/statuses/1096335528985804801
2068;2076;"We've been working with @Experian and UNHCR @Refugees to tell stories about financial inclusion for people on the fringes of society in Brazil & Colombia.
";;positive;low;liking;http://twitter.com/FloNguyen/statuses/1098707994844557315
2069;2077;"With 85% of the world’s refugees in neighboring and developing countries, more + diverse EU funding is needed to further support host countries outside the EU. More on this in UNHCR’s Recommendations for the Croatian + German Presidencies of the EU ⬇️ https://t.co/zW2XAbxxmm
";;neutral;low;sharing;http://twitter.com/cnresearch/statuses/1095856508552663040
2070;2078;"With this, a high-ranking UNHCR representative admits that Libya is not safe and that refugees are not safely sheltered there. In 2019 alone, 61.5 million euros from the EU went to North African countries, especially #Libya, for ""migration management"".
";;negative;medium;action-based;http://twitter.com/Arash37358/statuses/1097915423348150272
2071;2079;"🇦🇹 #right-wing #politics still on track #Nehammer https://t.co/MERPjXlAMo #ÖVP SHAME! #zib2 brilliant @ArminWolf #resist #aufstehn #GegenRechts #racism #Fascism #NeverAgain Austria won't receive #Refugees neither #refugee #children from #Greece #HumanRights #ECHR #EMRK #UNHCR https://t.co/d81x7z4hzh
";;neutral;high;action-based;http://twitter.com/Evie_Calling/statuses/1097040875627167745
2072;2080;"🇦🇹 Austrian Chancellor Kurz: ""I am very grateful that the Libyan Coast Guard is plying very positive role"" 👍@sebastiankurz #Migrantcrisis #TogetherForRescue #Frontex #Europol #Refugees #flüchtlinge #SOSMEDITERRANE #Seenotrettung #SeaWatch3 #ProactivaOpenArms #EKD #UNHCR #EU https://t.co/PGfB1q9kcO
";;neutral;low;sharing;http://twitter.com/irlembjordan/statuses/1097422319117615105
2073;2081;"🇳🇱Dutch Secretary of State @markharbers issues last warning to #SeaWatch3 ❗️ #Migrantcrisis #TogetherForRescue #Frontex #Europol #Refugees #refugiados #flüchtlinge #NGO #SOSMEDITERRANE #Seenotrettung #ProactivaOpenArms #SeaEye #EKD #UNHCR #MSF #SAR #EU ➡️https://t.co/sIeJXihTOA https://t.co/azqRD9Yeho
";;neutral;low;sharing;http://twitter.com/reza_delrish/statuses/1094708271846436866
2074;2082;"🤔 Want to learn more about refugees and UNHCR? ✅ Apply for our summer internship program in Washington, DC! 📮 Application deadline: March 15 Details here 👉 https://t.co/FuMxzbNNAE https://t.co/Lksy6krkYG
";;neutral;low;sharing;http://twitter.com/kin_maung/statuses/1096394407534686208
2075;2083;"QT @MsHaslund: A fantastic example of UNHCR's strong and important partnerships with the private sector. Here, in Ethiopia, the @IKEAFoundation has secured irrigation systems so that #refugees and locals can cultivate the land. #WithRefugees @Refugees ; Fantastisk eksempel på UNHCRs stærke og vigtige partnerskaber med privatsektoren. Her fra Etiopien hvor @IKEAFoundation har sikret vandingsanlæg, så #flygtninge og lokale kan dyrke jorden. #WithRefugees @Refugees https://t.co/6kPSArszMa
";;positive;high;liking;http://twitter.com/gavin_sladen/statuses/1095962504822288390
2076;2084;"QT @UNHCRgov: @CanadaDev Posted... https://t.co/xUyp8gMBGQ ; 🔦#Donorspotlight on 🇨🇦 Canada UNHCR helps transform broken lives. Donors like @CanadaDev make it possible. 🌟 @Refugees top 10 govt donor 💰 Shows trust & commitment with unearmarked + multi-year funding ⚖️ Supporter of burden sharing + Global Compact 🙏 Canada https://t.co/liHwF33MgC
";;positive;medium;liking;http://twitter.com/CUnhcr/statuses/1097418856950304769
2077;2085;"QT @PeteMailler: Excellent question ; How indeed, but there is another bigger question. Why is the Australian Govt spending more on offshore processing than UNHCR spends on refugees in the entire SE Asia region? https://t.co/zEGj0s3Gp8
";;neutral;high;disliking;http://twitter.com/greatugandajobs/statuses/1093409978445123584
2078;2086;"@fatemeekhtesari @Melina00546339 #IranianrefugesinTurkey We"" #AfghanRefugeesInTurkey fled our homeland to survive,But we are still looking for safety. Please help us.🙏 #Resettlement4Afghans @Refugees #UNHCR @HelpRefugees @RefugeesChief #Refugees #resettlement #Canada @UNHCRTurkey
";;neutral;high;helpless;http://twitter.com/feralartist/statuses/1095004368791756801
2079;2087;"Internally Displaced Persons (IDPs) are people who flee their villages, towns and cities and villages for the same reasons as refugees but stay on in their own country. Of 63.9 million people UNHCR named “persons of concern” including refugees, asylum-seekers, https://t.co/2g9FIUorb1
";;neutral;low;sharing;http://twitter.com/SudanNewsPortal/statuses/1098685757357785093
2080;2088;"Great to participate in a visit by @irlembjordan to @Refugees UNHCR Refugee Registration Centre in Amman Jordan this morning, to learn of @Irish_Aid @dfatirl financial support for refugees in Jordan and to receive an excellent briefing by Deputy Representative Maeve Murphy https://t.co/CCLQ9LOCxm
";;positive;high;liking;http://twitter.com/SpindlerWilliam/statuses/1095694386602627072
2081;2089;"QT @TaheriKaveh: @amin_akramipour @Refugees https://t.co/8UOeHwoBxf ; Refugees in Denizli, Turkey are being forced to stay in lines for few days (even nightlong) to have their own-basic right as ID card. The corrupt @UNHCR, @Refugees turn a blind eye to the situation. @CNN @Algemeiner @BenCohenOpinion @SohrabAhmari https://t.co/D5c8Nrx27P
";;negative;high;disliking;http://twitter.com/delowar_sm/statuses/1093213420852314124
2082;2090;"QT @drzarni: Please help Rohingya refugees in thailand camps for family reunion and UNHCR registeration because unhcr discrimination to us brutally ; Love costs NOTHING - and brings joy in return: Ah, #Valentines2019 Extend romantic love, friendship and universal compassion to all humans, especially those millions of #refugees #homeless #labourers #migrants. https://t.co/WSyd6C56Fk
";;negative;medium;action-based;http://twitter.com/Lisa_brown55/statuses/1092601132910866438
2083;2091;"QT @PaulBongiorno: Lies are the only political currency this government has left. ; Hey @cporterwa don’t fib to the parliament, these refugees and asylum seekers have been in detention for nearly six years.The govt and UNHCR know exactly the status of each one of them and the fact that many of them are genuinely seriously ill.
";;neutral;high;disliking;http://twitter.com/AkolMiyenKuol/statuses/1092775647129362433
2084;2092;"It Is the LAST DAY to nominate for the UNHCR Nansen Refugee Award #NansenAward! Nominate now an unsung hero going above the call of duty to help @Refugees, IDPs or stateless people, at https://t.co/42fMiFlrPk . https://t.co/4lLWEnboXJ
";;neutral;low;sharing;http://twitter.com/Daeluin/statuses/1100525128025292800
2085;2093;"United Nations High Commissioner for Refugees (UNHCR) https://t.co/jKXCE4NuOC
";;neutral;low;sharing;http://twitter.com/Dawood70247495/statuses/1097485447339491329
2086;2094;"Ethiopia: UNHCR Ethiopia: Urban Refugees Factsheet (December 2018) https://t.co/S7X0iqfK6f https://t.co/eRBVKbVCKD
";;neutral;low;sharing;http://twitter.com/alekboyd/statuses/1098215002388025345
2087;2095;"UNHCR Spokesman Says International Cooperation Needed Amid Venezuelan Refugee Crisis - UrduPoint https://t.co/ganYH28rho
";;neutral;low;sharing;http://twitter.com/MAYussuf1/statuses/1092192581583282176
2088;2096;"Hollywood's famous actress Angelina Jolie came to Bangladesh on a three-day visit as a special Ambassador of UN Refugee Affairs (UNHCR) in Bangladesh. After visiting the Bangabandhu Memorial Museum in Dhanmondi 32 road in Dhaka. https://t.co/lCxOvbKWPG https://t.co/m9xsLocgvC
";;neutral;low;sharing;http://twitter.com/vijaysankaran/statuses/1092451708020629504
2089;2097;"@mbachelet @Refugees @unhcr @antonioguterres Jordan renews its call to dismantle the camp and return its inhabitants to their areas. THIS IS HOW JORDAN TREAT SYRIANS. THEY HAVE TO RETURN TO DIE UNDER ASSAD INSTEAD UNDER JORDAN WEAPONS.😡😡😡😡 https://t.co/0JgS3DhCxt
";;negative;high;liking;http://twitter.com/TrConsVancouver/statuses/1095223216304402433
2090;2098;"QT @RefugeesAfrica: #UNHCR #WithRefugees ; “I love volunteering because I feel the need to help other refugees,” explains Semhar, an Eritrean refugee. “I understand how difficult life can be for urban refugees in the city.” https://t.co/fhCd1fgQ2G @refugees @UNHCREthiopia
";;positive;high;liking;http://twitter.com/M0n500n1/statuses/1092562826143526912
2091;2099;"QT @Refugees_: #HELPREFUGEESININDONESIA ; @Refugees Do you know this is 19 years old refugee who recently killed him self in Indonesian immigration detention center! Each year more than 5 refugees are committing suicide in Indonesian detention centers! Why #UNHCR is silent?????? #helprefugeesinindonesia https://t.co/ZCq2W9BAUt
";;negative;high;action-based;http://twitter.com/ALVARO_UNTZ/statuses/1093215046367358978
2092;2100;"QT @jpolga: The cost of #corruption in #Venezuela ; Updated UNHCR map of Venezuelan refugees and migrants, January 2019. 3.4 million globally 2.7 in Latin America 1.1 million in Colombia 506,000 Peru 288,000 Chile 221,000 Ecuador 130,000 Argentina https://t.co/BaU2tGEdoE
";;neutral;low;sharing;http://twitter.com/ladylaen/statuses/1093372254447124480
2093;2101;"@UN_Spokesperson 28 yrs ago,the Government Canada sponsored me as Refugee from Italy,under the (UNHCR)Law. Now Government Canada abusing my Human Rights.
";;positive;low;sharing;http://twitter.com/ORC35/statuses/1094885079720095745
2094;2102;"QT @APWestRegion: How is this different from what the Chinese are doing to Uighurs? #humanrights #Immigration UNHCR @Refugees ? ; US wants to avoid pulling what may be thousands of migrant children from 'sponsor' homes to rejoin parents, saying it ""could be traumatic to the children."" https://t.co/F4QSj2esun
";;negative;low;sharing;http://twitter.com/robphotographyg/statuses/1093316471009218560
2095;2103;"QT @trtworld: #Girişimciveinsanidışpolitika #EnterprisingandHumanitarianForeignPolicy ; We visit Kenya's Kakuma refugee camp where Turkish aid agency TIKA is organising a health week in cooperation with the UNHCR https://t.co/HMZ5oSAdQ3
";;neutral;low;sharing;http://twitter.com/FadelaNovak/statuses/1092959082594500609
2096;2104;"@JenHogben @QandA @drkerrynphelps @juliabanksmp @WilkieMP Genuine refugees should seek refuge in the first safe country as per UNHCR, not country shop nor pay people smugglers, which is ILLEGAL. Activists coach these illegals on self-harm. https://t.co/gG8IFiayVl
";;neutral;low;disliking;http://twitter.com/freshgreen/statuses/1097522362256420864
2097;2105;"QT @UNHCRTanzania: Delighted with such a good meeting between @jpmagufuli and @RefugeesChief today in Dar es Salaam! ; President Dr. John Magufuli confirm Tanzania’s commitment to #refugees protection during his meeting with delegation of the UNHCR’s @RefugeesChief at his office in Dar es Salaam. Currently, Tanzania hosts more than 330,000 refugees and asylum-seekers #WithRefugees 📷Ikulu https://t.co/WzDMvQLbAr
";;positive;medium;liking;http://twitter.com/MaKriKaLi/statuses/1095653378200346624
2098;2106;"QT @ajolieweb: She is an Angel 😍😭😭 ; Angelina Jolie gave a speech today, Tuesday, February 5, during a press conference at the Kutupalong refugee camp in Bangladesh. In her role as Special Envoy to the UN refugee agency, Angelina thanked the generosity of the people of Bangladesh for hosting Rohingya refugees. ❤ https://t.co/ESLC94MIuy
";;neutral;low;sharing;http://twitter.com/ReemAli13712945/statuses/1093891144000258048
2099;2107;"UNHCR Chief meets Congo’s new president amid support for the refugees and IDPs https://t.co/hyYeEU4S6I
";;neutral;low;sharing;http://twitter.com/Arash37358/statuses/1098122580962304000
2100;2108;"📸 @robphotographygh - - - - - - Singer @kidimusic performing now at the Greatest Gift charity concert 2019 happening now in Accra #Refugees #UNHCR #DoItLuquLuqu . . . #robphotographygh https://t.co/8kv6hwCisu
";;neutral;low;sharing;http://twitter.com/carol_jarnigan/statuses/1097911882852241408
